id,short_name,name,country,max_distance_to_land,lat_min_box,lat_max_box,lon_min_box,lon_max_box,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
736,GLWD00000736,Hoh Sai,China,5.3,35.5958,35.8708,92.5792,93.0958,35.6903,92.9208,False,False,True,True,True
738,GLWD00000738,Habbaniyah,Iraq,5.7,33.1625,33.4542,43.2542,43.6292,33.2792,43.5153,True,False,True,True,True
744,GLWD00000744,Ta-tse,China,7.4,31.7875,32.0125,87.3708,87.6792,31.9042,87.5486,True,True,True,True,True
746,GLWD00000746,Lake Maurepas,United States,7.1,30.1292,30.3792,-90.6292,-90.2708,30.2514,-90.5042,False,False,True,True,True
748,GLWD00000748,Calcasieu,United States,5,29.7875,30.1375,-93.4792,-93.1958,29.8819,-93.2903,False,False,True,True,True
754,GLWD00000754,Cumberland,Canada,4.1,53.8792,54.1875,-102.4708,-101.9958,54.0125,-102.2986,False,False,True,True,True
755,GLWD00000755,Chabyer-Lake,China,4.7,31.2208,31.5542,83.9208,84.1708,31.4431,84.0486,False,False,True,True,True
756,GLWD00000756,Kronotskoye,Russian Federation,5.7,54.6792,54.9542,159.9792,160.4125,54.7903,160.2153,False,False,True,True,True
758,GLWD00000758,Hornavan,Sweden,2.6,66.0042,66.4792,16.9208,18.2458,66.1764,17.7153,False,False,True,True,True
761,GLWD00000761,Winnibigoshish,United States,5.9,47.3125,47.5792,-94.3875,-93.9708,47.4125,-94.2264,False,False,True,True,True
767,GLWD00000767,Erhai,China,3.9,25.5708,26.0042,100.0625,100.3292,25.8042,100.1819,False,False,True,True,True
770,GLWD00000770,Adjuntas,Mexico,4.4,23.7958,24.1125,-98.8708,-98.6292,23.9625,-98.7514,False,False,True,True,True
771,GLWD00000771,Wasekamio,Canada,3.4,56.3708,56.7625,-108.7792,-108.3875,56.5347,-108.6569,False,False,True,True,True
773,GLWD00000773,Orog,Mongolia,7.5,50.0375,50.2708,90.8375,91.1792,50.1597,91.0181,False,False,True,True,True
779,GLWD00000779,Wapawekka,Canada,5,54.8125,55.0042,-104.8458,-104.0042,54.9181,-104.6764,True,False,True,True,True
782,GLWD00000782,Pasfield,Canada,6.2,58.2208,58.5292,-105.4958,-105.1208,58.3847,-105.3236,False,False,True,True,True
790,GLWD00000790,Wu-liang-su,China,1.4,40.7958,41.0542,108.6792,108.9958,40.9986,108.8625,False,False,True,True,True
791,GLWD00000791,Shijiu,China,5.5,31.3458,31.5875,118.7292,119.0125,31.4847,118.9181,False,False,True,True,True
